seed = 1234
backbone = efficientnet_v2_s
input_size = 480x240

========== StageA | label_map={'empty': 0, 'low': 1, 'medium': 1, 'high': 1} ==========
num_classes=2 | train n=609 | val n=130
class counts (idx -> n):  {0: 224, 1: 385}
class weights (idx -> w): {0: 1.359, 1: 0.791}

-- StageA | warmup (fc only) --
[StageB.warmup] ep  8/8  train loss=0.914 acc=0.405  val acc=0.256  best=0.293  lr=1.0e-04

-- StageB | finetune (all params) --
[StageB.finetune] ep  1/60  train loss=0.892 acc=0.436  val acc=0.293  best=0.293  lr=1.0e-05
[StageB.finetune] ep  2/60  train loss=0.851 acc=0.478  val acc=0.390  best=0.390  lr=1.0e-05
[StageB.finetune] ep  3/60  train loss=0.849 acc=0.509  val acc=0.451  best=0.451  lr=1.0e-05
[StageB.finetune] ep  4/60  train loss=0.795 acc=0.548  val acc=0.573  best=0.573  lr=9.9e-06
[StageB.finetune] ep  5/60  train loss=0.754 acc=0.603  val acc=0.622  best=0.622  lr=9.9e-06
[StageB.finetune] ep  6/60  train loss=0.725 acc=0.600  val acc=0.707  best=0.707  lr=9.8e-06
[StageB.finetune] ep  7/60  train loss=0.718 acc=0.634  val acc=0.720  best=0.720  lr=9.8e-06
[StageB.finetune] ep  8/60  train loss=0.677 acc=0.686  val acc=0.720  best=0.720  lr=9.7e-06
[StageB.finetune] ep  9/60  train loss=0.637 acc=0.751  val acc=0.756  best=0.756  lr=9.6e-06
[StageB.finetune] ep 10/60  train loss=0.614 acc=0.764  val acc=0.744  best=0.756  lr=9.5e-06
[StageB.finetune] ep 11/60  train loss=0.535 acc=0.849  val acc=0.744  best=0.756  lr=9.3e-06
[StageB.finetune] ep 12/60  train loss=0.498 acc=0.847  val acc=0.756  best=0.756  lr=9.2e-06
[StageB.finetune] ep 13/60  train loss=0.485 acc=0.852  val acc=0.756  best=0.756  lr=9.0e-06
[StageB.finetune] ep 14/60  train loss=0.470 acc=0.852  val acc=0.768  best=0.768  lr=8.9e-06
[StageB.finetune] ep 15/60  train loss=0.482 acc=0.836  val acc=0.793  best=0.793  lr=8.7e-06
[StageB.finetune] ep 16/60  train loss=0.436 acc=0.852  val acc=0.805  best=0.805  lr=8.5e-06
[StageB.finetune] ep 17/60  train loss=0.375 acc=0.896  val acc=0.768  best=0.805  lr=8.3e-06
[StageB.finetune] ep 18/60  train loss=0.345 acc=0.935  val acc=0.780  best=0.805  lr=8.1e-06
[StageB.finetune] ep 19/60  train loss=0.354 acc=0.912  val acc=0.793  best=0.805  lr=7.9e-06
[StageB.finetune] ep 20/60  train loss=0.358 acc=0.893  val acc=0.780  best=0.805  lr=7.7e-06
[StageB.finetune] ep 21/60  train loss=0.295 acc=0.935  val acc=0.829  best=0.829  lr=7.5e-06
[StageB.finetune] ep 22/60  train loss=0.307 acc=0.919  val acc=0.793  best=0.829  lr=7.3e-06
[StageB.finetune] ep 23/60  train loss=0.293 acc=0.919  val acc=0.780  best=0.829  lr=7.0e-06
[StageB.finetune] ep 24/60  train loss=0.301 acc=0.914  val acc=0.780  best=0.829  lr=6.8e-06
[StageB.finetune] ep 25/60  train loss=0.243 acc=0.951  val acc=0.805  best=0.829  lr=6.5e-06
[StageB.finetune] ep 26/60  train loss=0.262 acc=0.930  val acc=0.805  best=0.829  lr=6.3e-06
[StageB.finetune] ep 27/60  train loss=0.291 acc=0.922  val acc=0.805  best=0.829  lr=6.0e-06
[StageB.finetune] ep 28/60  train loss=0.239 acc=0.932  val acc=0.793  best=0.829  lr=5.8e-06
[StageB.finetune] ep 29/60  train loss=0.257 acc=0.912  val acc=0.744  best=0.829  lr=5.5e-06
[StageB.finetune] ep 30/60  train loss=0.235 acc=0.940  val acc=0.768  best=0.829  lr=5.3e-06
[StageB.finetune] ep 31/60  train loss=0.202 acc=0.956  val acc=0.793  best=0.829  lr=5.0e-06
[StageB.finetune] ep 32/60  train loss=0.218 acc=0.956  val acc=0.793  best=0.829  lr=4.7e-06
