stage,epoch,phase,loss,acc,lr
StageB.finetune,13,train,0.4847,0.8519,9.045084971874738e-06
StageB.finetune,13,val,0.71,0.7561,9.045084971874738e-06
StageB.finetune,14,train,0.4701,0.8519,8.885729807284857e-06
StageB.finetune,14,val,0.7164,0.7683,8.885729807284857e-06
StageB.finetune,15,train,0.4824,0.8364,8.715724127386973e-06
StageB.finetune,15,val,0.6885,0.7927,8.715724127386973e-06
StageB.finetune,16,train,0.4358,0.8519,8.53553390593274e-06
StageB.finetune,16,val,0.6743,0.8049,8.53553390593274e-06
StageB.finetune,17,train,0.3752,0.8961,8.345653031794293e-06
StageB.finetune,17,val,0.6564,0.7683,8.345653031794293e-06
StageB.finetune,18,train,0.3455,0.9351,8.146601955249189e-06
StageB.finetune,18,val,0.6483,0.7805,8.146601955249189e-06
StageB.finetune,19,train,0.3541,0.9117,7.938926261462366e-06
StageB.finetune,19,val,0.6355,0.7927,7.938926261462366e-06
StageB.finetune,20,train,0.3581,0.8935,7.723195175075136e-06
StageB.finetune,20,val,0.6182,0.7805,7.723195175075136e-06
StageB.finetune,21,train,0.2948,0.9351,7.5e-06
StageB.finetune,21,val,0.6166,0.8293,7.5e-06
StageB.finetune,22,train,0.3069,0.9195,7.269952498697734e-06
StageB.finetune,22,val,0.6159,0.7927,7.269952498697734e-06
StageB.finetune,23,train,0.2927,0.9195,7.033683215379002e-06
StageB.finetune,23,val,0.6217,0.7805,7.033683215379002e-06
StageB.finetune,24,train,0.301,0.9143,6.791839747726503e-06
StageB.finetune,24,val,0.6019,0.7805,6.791839747726503e-06
StageB.finetune,25,train,0.2427,0.9506,6.545084971874738e-06
StageB.finetune,25,val,0.5979,0.8049,6.545084971874738e-06
StageB.finetune,26,train,0.2621,0.9299,6.294095225512604e-06
StageB.finetune,26,val,0.6009,0.8049,6.294095225512604e-06
StageB.finetune,27,train,0.2906,0.9221,6.039558454088796e-06
StageB.finetune,27,val,0.594,0.8049,6.039558454088796e-06
StageB.finetune,28,train,0.2386,0.9325,5.782172325201155e-06
StageB.finetune,28,val,0.6006,0.7927,5.782172325201155e-06
StageB.finetune,29,train,0.2569,0.9117,5.522642316338268e-06
StageB.finetune,29,val,0.6315,0.7439,5.522642316338268e-06
StageB.finetune,30,train,0.2349,0.9403,5.261679781214719e-06
StageB.finetune,30,val,0.6062,0.7683,5.261679781214719e-06
StageB.finetune,31,train,0.2017,0.9558,5.000000000000001e-06
StageB.finetune,31,val,0.5793,0.7927,5.000000000000001e-06
StageB.finetune,32,train,0.2176,0.9558,4.738320218785282e-06
StageB.finetune,32,val,0.5768,0.7927,4.738320218785282e-06
StageB.finetune,33,train,0.1921,0.9558,4.477357683661734e-06
StageB.finetune,33,val,0.6056,0.7805,4.477357683661734e-06
StageB.finetune,34,train,0.2017,0.9455,4.217827674798846e-06
StageB.finetune,34,val,0.5914,0.8049,4.217827674798846e-06
StageB.finetune,35,train,0.1521,0.9714,3.960441545911203e-06
StageB.finetune,35,val,0.5711,0.8049,3.960441545911203e-06
StageB.finetune,36,train,0.151,0.9688,3.705904774487397e-06
StageB.finetune,36,val,0.5683,0.7805,3.705904774487397e-06
StageB.finetune,37,train,0.1443,0.9766,3.454915028125263e-06
StageB.finetune,37,val,0.5804,0.8049,3.454915028125263e-06
StageB.finetune,38,train,0.1553,0.9532,3.2081602522734987e-06
StageB.finetune,38,val,0.5983,0.7683,3.2081602522734987e-06
StageB.finetune,39,train,0.1422,0.9636,2.966316784620999e-06
StageB.finetune,39,val,0.6442,0.7439,2.966316784620999e-06
StageB.finetune,40,train,0.1446,0.9688,2.730047501302266e-06
StageB.finetune,40,val,0.5617,0.7805,2.730047501302266e-06
StageB.finetune,41,train,0.1301,0.9818,2.500000000000001e-06
StageB.finetune,41,val,0.5876,0.7805,2.500000000000001e-06
StageB.finetune,42,train,0.147,0.9662,2.276804824924866e-06
StageB.finetune,42,val,0.5651,0.8049,2.276804824924866e-06
StageB.finetune,43,train,0.1522,0.9584,2.061073738537635e-06
StageB.finetune,43,val,0.5507,0.7927,2.061073738537635e-06
StageB.finetune,44,train,0.1584,0.9558,1.8533980447508138e-06
StageB.finetune,44,val,0.5461,0.8049,1.8533980447508138e-06
StageB.finetune,45,train,0.1648,0.9662,1.6543469682057107e-06
StageB.finetune,45,val,0.5676,0.8171,1.6543469682057107e-06
StageB.finetune,46,train,0.1907,0.9429,1.4644660940672628e-06
StageB.finetune,46,val,0.6127,0.7683,1.4644660940672628e-06
StageB.finetune,47,train,0.1558,0.9532,1.2842758726130296e-06
StageB.finetune,47,val,0.5784,0.7927,1.2842758726130296e-06
StageB.finetune,48,train,0.1266,0.974,1.1142701927151456e-06
StageB.finetune,48,val,0.5447,0.7805,1.1142701927151456e-06
StageB.finetune,49,train,0.1305,0.9844,9.549150281252633e-07
StageB.finetune,49,val,0.5308,0.8171,9.549150281252633e-07
StageB.finetune,50,train,0.1397,0.974,8.066471602728802e-07
StageB.finetune,50,val,0.5943,0.7927,8.066471602728802e-07
StageB.finetune,51,train,0.1368,0.9558,6.698729810778064e-07
StageB.finetune,51,val,0.5593,0.7805,6.698729810778064e-07
StageB.finetune,52,train,0.1292,0.9688,5.44967379058161e-07
StageB.finetune,52,val,0.6094,0.7805,5.44967379058161e-07
StageB.finetune,53,train,0.1676,0.9377,4.3227271178699507e-07
StageB.finetune,53,val,0.565,0.7683,4.3227271178699507e-07
StageB.finetune,54,train,0.1325,0.9662,3.3209786751399125e-07
StageB.finetune,54,val,0.5537,0.7683,3.3209786751399125e-07
StageB.finetune,55,train,0.1339,0.9766,2.4471741852423233e-07
StageB.finetune,55,val,0.5569,0.7805,2.4471741852423233e-07
StageB.finetune,56,train,0.1953,0.9273,1.7037086855465844e-07
StageB.finetune,56,val,0.5759,0.7805,1.7037086855465844e-07
StageB.finetune,57,train,0.1503,0.9584,1.0926199633097156e-07
StageB.finetune,57,val,0.608,0.7927,1.0926199633097156e-07
StageB.finetune,58,train,0.1167,0.974,6.15582970243117e-08
StageB.finetune,58,val,0.6051,0.7805,6.15582970243117e-08
StageB.finetune,59,train,0.1632,0.9636,2.7390523158632996e-08
StageB.finetune,59,val,0.5652,0.8049,2.7390523158632996e-08
StageB.finetune,60,train,0.1448,0.961,6.852326227130835e-09
StageB.finetune,60,val,0.5726,0.7683,6.852326227130835e-09
