seed = 2026
backbone = resnet50

========== StageA | label_map={'empty': 0, 'low': 1, 'medium': 1, 'high': 1} ==========
num_classes=2 | train n=609 | val n=130
class counts (idx -> n):  {0: 224, 1: 385}
class weights (idx -> w): {0: 1.359, 1: 0.791}

-- StageA | warmup (fc only) --
[StageB.finetune] ep 32/60  train loss=0.242 acc=0.922  val acc=0.793  best=0.793  lr=4.7e-06
[StageB.finetune] ep 33/60  train loss=0.260 acc=0.919  val acc=0.768  best=0.793  lr=4.5e-06
[StageB.finetune] ep 34/60  train loss=0.243 acc=0.909  val acc=0.768  best=0.793  lr=4.2e-06
[StageB.finetune] ep 35/60  train loss=0.251 acc=0.919  val acc=0.768  best=0.793  lr=4.0e-06
[StageB.finetune] ep 36/60  train loss=0.217 acc=0.938  val acc=0.780  best=0.793  lr=3.7e-06
[StageB.finetune] ep 37/60  train loss=0.212 acc=0.914  val acc=0.756  best=0.793  lr=3.5e-06
[StageB.finetune] ep 38/60  train loss=0.218 acc=0.938  val acc=0.805  best=0.805  lr=3.2e-06
[StageB.finetune] ep 39/60  train loss=0.209 acc=0.943  val acc=0.756  best=0.805  lr=3.0e-06
[StageB.finetune] ep 40/60  train loss=0.248 acc=0.909  val acc=0.780  best=0.805  lr=2.7e-06
[StageB.finetune] ep 41/60  train loss=0.210 acc=0.922  val acc=0.744  best=0.805  lr=2.5e-06
[StageB.finetune] ep 42/60  train loss=0.192 acc=0.948  val acc=0.780  best=0.805  lr=2.3e-06
[StageB.finetune] ep 43/60  train loss=0.181 acc=0.948  val acc=0.817  best=0.817  lr=2.1e-06
[StageB.finetune] ep 44/60  train loss=0.178 acc=0.958  val acc=0.744  best=0.817  lr=1.9e-06
[StageB.finetune] ep 45/60  train loss=0.205 acc=0.932  val acc=0.756  best=0.817  lr=1.7e-06
[StageB.finetune] ep 46/60  train loss=0.210 acc=0.930  val acc=0.805  best=0.817  lr=1.5e-06
[StageB.finetune] ep 47/60  train loss=0.198 acc=0.938  val acc=0.744  best=0.817  lr=1.3e-06
[StageB.finetune] ep 48/60  train loss=0.187 acc=0.948  val acc=0.720  best=0.817  lr=1.1e-06
[StageB.finetune] ep 49/60  train loss=0.198 acc=0.932  val acc=0.793  best=0.817  lr=9.5e-07
[StageB.finetune] ep 50/60  train loss=0.202 acc=0.943  val acc=0.805  best=0.817  lr=8.1e-07
[StageB.finetune] ep 51/60  train loss=0.208 acc=0.917  val acc=0.780  best=0.817  lr=6.7e-07
[StageB.finetune] ep 52/60  train loss=0.195 acc=0.940  val acc=0.780  best=0.817  lr=5.4e-07
[StageB.finetune] ep 53/60  train loss=0.207 acc=0.925  val acc=0.805  best=0.817  lr=4.3e-07
[StageB.finetune] ep 54/60  train loss=0.186 acc=0.951  val acc=0.732  best=0.817  lr=3.3e-07
[StageB.finetune] ep 55/60  train loss=0.188 acc=0.940  val acc=0.744  best=0.817  lr=2.4e-07
[StageB.finetune] ep 56/60  train loss=0.173 acc=0.958  val acc=0.780  best=0.817  lr=1.7e-07
[StageB.finetune] ep 57/60  train loss=0.179 acc=0.948  val acc=0.780  best=0.817  lr=1.1e-07
[StageB.finetune] ep 58/60  train loss=0.157 acc=0.974  val acc=0.780  best=0.817  lr=6.2e-08
[StageB.finetune] ep 59/60  train loss=0.209 acc=0.925  val acc=0.780  best=0.817  lr=2.7e-08
[StageB.finetune] ep 60/60  train loss=0.191 acc=0.958  val acc=0.756  best=0.817  lr=6.9e-09

[StageB] best val acc = 0.8171  ->  E:\Users\a\Desktop\��ģ\Waterornot-it-is-a-question-main\Waterornot-it-is-a-question-main\models\resnet\two_stage\stage_b_low_med_high.pth

Train log -> E:\Users\a\Desktop\��ģ\Waterornot-it-is-a-question-main\Waterornot-it-is-a-question-main\outputs\metrics\two_stage_train_log.csv

Total time: 21.2 min
Summary | Stage A best val acc = 0.9615 | Stage B best val acc = 0.8171
