stage,epoch,phase,loss,acc,lr
StageB.finetune,12,train,0.5566,0.7689,9.193352839727122e-06
StageB.finetune,12,val,0.8229,0.7333,9.193352839727122e-06
StageB.finetune,13,train,0.5682,0.7571,9.045084971874738e-06
StageB.finetune,13,val,0.8086,0.7,9.045084971874738e-06
StageB.finetune,14,train,0.5253,0.8278,8.885729807284857e-06
StageB.finetune,14,val,0.7812,0.7222,8.885729807284857e-06
StageB.finetune,15,train,0.5003,0.8255,8.715724127386973e-06
StageB.finetune,15,val,0.7818,0.7,8.715724127386973e-06
StageB.finetune,16,train,0.454,0.8703,8.53553390593274e-06
StageB.finetune,16,val,0.7601,0.7111,8.53553390593274e-06
StageB.finetune,17,train,0.4733,0.8443,8.345653031794293e-06
StageB.finetune,17,val,0.7589,0.7111,8.345653031794293e-06
StageB.finetune,18,train,0.4052,0.8774,8.146601955249189e-06
StageB.finetune,18,val,0.752,0.7111,8.146601955249189e-06
StageB.finetune,19,train,0.3613,0.8821,7.938926261462366e-06
StageB.finetune,19,val,0.7564,0.7111,7.938926261462366e-06
StageB.finetune,20,train,0.4099,0.8302,7.723195175075136e-06
StageB.finetune,20,val,0.76,0.7333,7.723195175075136e-06
StageB.finetune,21,train,0.3469,0.9033,7.5e-06
StageB.finetune,21,val,0.7512,0.7222,7.5e-06
StageB.finetune,22,train,0.329,0.8868,7.269952498697734e-06
StageB.finetune,22,val,0.7613,0.7333,7.269952498697734e-06
StageB.finetune,23,train,0.3014,0.9033,7.033683215379002e-06
StageB.finetune,23,val,0.7598,0.7333,7.033683215379002e-06
StageB.finetune,24,train,0.2912,0.9033,6.791839747726503e-06
StageB.finetune,24,val,0.7506,0.7556,6.791839747726503e-06
StageB.finetune,25,train,0.2806,0.908,6.545084971874738e-06
StageB.finetune,25,val,0.7629,0.7333,6.545084971874738e-06
StageB.finetune,26,train,0.2931,0.9245,6.294095225512604e-06
StageB.finetune,26,val,0.7658,0.7333,6.294095225512604e-06
StageB.finetune,27,train,0.2753,0.9245,6.039558454088796e-06
StageB.finetune,27,val,0.7405,0.7444,6.039558454088796e-06
StageB.finetune,28,train,0.2615,0.9175,5.782172325201155e-06
StageB.finetune,28,val,0.7425,0.7667,5.782172325201155e-06
StageB.finetune,29,train,0.2466,0.9434,5.522642316338268e-06
StageB.finetune,29,val,0.7749,0.7556,5.522642316338268e-06
StageB.finetune,30,train,0.2139,0.9363,5.261679781214719e-06
StageB.finetune,30,val,0.7698,0.7556,5.261679781214719e-06
StageB.finetune,31,train,0.2047,0.9505,5.000000000000001e-06
StageB.finetune,31,val,0.7485,0.7556,5.000000000000001e-06
StageB.finetune,32,train,0.2334,0.9127,4.738320218785282e-06
StageB.finetune,32,val,0.7726,0.7667,4.738320218785282e-06
StageB.finetune,33,train,0.1952,0.9528,4.477357683661734e-06
StageB.finetune,33,val,0.7911,0.7667,4.477357683661734e-06
StageB.finetune,34,train,0.1862,0.9387,4.217827674798846e-06
StageB.finetune,34,val,0.7455,0.7667,4.217827674798846e-06
StageB.finetune,35,train,0.1942,0.9528,3.960441545911203e-06
StageB.finetune,35,val,0.7712,0.7667,3.960441545911203e-06
StageB.finetune,36,train,0.1911,0.941,3.705904774487397e-06
StageB.finetune,36,val,0.7689,0.7556,3.705904774487397e-06
StageB.finetune,37,train,0.1836,0.941,3.454915028125263e-06
StageB.finetune,37,val,0.7915,0.7444,3.454915028125263e-06
StageB.finetune,38,train,0.2116,0.9222,3.2081602522734987e-06
StageB.finetune,38,val,0.748,0.7667,3.2081602522734987e-06
StageB.finetune,39,train,0.1913,0.9316,2.966316784620999e-06
StageB.finetune,39,val,0.809,0.7556,2.966316784620999e-06
StageB.finetune,40,train,0.1613,0.9458,2.730047501302266e-06
StageB.finetune,40,val,0.7597,0.7556,2.730047501302266e-06
StageB.finetune,41,train,0.2004,0.9222,2.500000000000001e-06
StageB.finetune,41,val,0.7839,0.7556,2.500000000000001e-06
StageB.finetune,42,train,0.1529,0.9505,2.276804824924866e-06
StageB.finetune,42,val,0.7523,0.7667,2.276804824924866e-06
StageB.finetune,43,train,0.1708,0.9505,2.061073738537635e-06
StageB.finetune,43,val,0.7876,0.7556,2.061073738537635e-06
StageB.finetune,44,train,0.1637,0.9481,1.8533980447508138e-06
StageB.finetune,44,val,0.7394,0.7444,1.8533980447508138e-06
StageB.finetune,45,train,0.1515,0.9599,1.6543469682057107e-06
StageB.finetune,45,val,0.7897,0.7667,1.6543469682057107e-06
StageB.finetune,46,train,0.1483,0.9693,1.4644660940672628e-06
StageB.finetune,46,val,0.7813,0.7444,1.4644660940672628e-06
StageB.finetune,47,train,0.1508,0.9623,1.2842758726130296e-06
StageB.finetune,47,val,0.7325,0.7667,1.2842758726130296e-06
StageB.finetune,48,train,0.1542,0.9599,1.1142701927151456e-06
StageB.finetune,48,val,0.7693,0.7778,1.1142701927151456e-06
StageB.finetune,49,train,0.1591,0.9717,9.549150281252633e-07
StageB.finetune,49,val,0.7712,0.7667,9.549150281252633e-07
StageB.finetune,50,train,0.1699,0.9505,8.066471602728802e-07
StageB.finetune,50,val,0.7894,0.7667,8.066471602728802e-07
StageB.finetune,51,train,0.1705,0.9387,6.698729810778064e-07
StageB.finetune,51,val,0.8238,0.7333,6.698729810778064e-07
StageB.finetune,52,train,0.1594,0.9528,5.44967379058161e-07
StageB.finetune,52,val,0.7781,0.7444,5.44967379058161e-07
StageB.finetune,53,train,0.1671,0.941,4.3227271178699507e-07
StageB.finetune,53,val,0.7679,0.7444,4.3227271178699507e-07
StageB.finetune,54,train,0.1474,0.9575,3.3209786751399125e-07
StageB.finetune,54,val,0.7914,0.7667,3.3209786751399125e-07
StageB.finetune,55,train,0.1542,0.9575,2.4471741852423233e-07
StageB.finetune,55,val,0.7721,0.7444,2.4471741852423233e-07
